id,name,org
341,Barbara Shulgasser,Chicago Tribune
342,Matt Shiverdecker,Austin American-Statesman
343,Michael Sicinski,Nashville Scene
344,Randy Shulman,"Metro Weekly (Washington, DC)"
345,Edward Porter,Sunday Times (UK)
346,Xavi Sánchez Pons,Sensacine
347,Lucy Popescu,CineVue
348,Richard Porton,Chicago Reader
349,Yasmin Shehab,Daily News Egypt
350,Sergio F. Pinilla,Cinemanía (Spain)
351,Nick Pinkerton,Film Comment Magazine
352,Kyle Pinion,GeekRex
353,Andrew Pollard,Starburst
354,Neil Pond,American Profile
355,Fausto Ponce,Proceso
356,Steve Pond,TheWrap
357,David Sexton,London Evening Standard
358,Devesh Sharma,Filmfare
359,Marshall Shaffer,Slant Magazine
360,Gary Shannon,The Young Folks
361,Liam Lacey,Globe and Mail
362,Don Shanahan,Medium
363,Witney Seibold,IGN Movies
364,Matt Zoller Seitz,New York Magazine/Vulture
365,Diego Semerene,Slant Magazine
366,Nick De Semlyen,Empire Magazine
367,John Semley,Maclean's Magazine
368,Philip De Semlyen,Empire Magazine
369,Raja Sen,Rediff.com
370,John Serba,MLive.com
371,Alistair Ryder,Cinemazine
372,Nev Pierce,BBC.com
373,Juan Pablo Russo,EscribiendoCine
374,Mike Ryan,TIME Magazine
375,Shirley Sealy,Film Journal International
376,Rich Phippen,Sky Cinema
377,Keith Phipps,Slate
378,Leah Pickett,Chicago Reader
379,Michael Phillips,Baltimore Sun
380,Chelsea Phillips-Carr,National Post
381,A.O. Scott,New York Times
382,Mike Scott,Times-Picayune
383,Diane Pershing,Malibu Times
384,Aaron Peterson,The Hollywood Outsider
385,Renee Schonfeld,Common Sense Media
386,Steve Schneider,Orlando Weekly
387,Dennis Schwartz,Ozus' World Movie Reviews
388,Johanna Schneller,Toronto Star
389,Christopher Schobert,The Playlist
390,Pablo A. Scholz,Clarín
391,Conner Schwerdtfeger,CinemaBlend
392,Dan Schindel,Film School Rejects
393,Alan Scherstuhl,L.A. Weekly
394,Jim Schembri,Sydney Morning Herald
395,Tom Russo,Boston Globe
396,Mark Schilling,Screen International
397,Alison Rowat,The Herald (Scotland)
398,Shelagh Rowan-Legg,ScreenAnarchy
399,Francesca Rudkin,New Zealand Herald
400,Matthew Rozsa,Salon.com
401,Paula Arantzazu Ruiz,Sensacine
402,Adrián Ruiz,Excelsior
403,Nicolás Ruiz,Código espagueti
404,Jordan Ruimy,The Playlist
405,Juanma Ruiz,Caimán Cuadernos de Cine
406,Joshua Rothkopf,Chicago Reader
407,Deborah Ross,The Mail on Sunday (UK)
408,Rodrigo Perez,The Playlist
409,Javier Perez,Cine Premiere
410,Jason Di Rosso,At the Movies (Australia)
411,Robert Roten,Laramie Movie Scope
412,Adam Patterson,Film Pulse
413,Michael Pattison,indieWire
414,Rafael Paz,Butaca Ancha
